community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance
ROGERS PARK,1.0,70.97421,2058.2522,42.713066,93.13868,11.432817
WEST RIDGE,2.0,68.73003,4192.5317,52.747105,85.50294,7.629064
UPTOWN,3.0,79.34233,2776.9817,20.459435,118.749535,19.469854
LINCOLN SQUARE,4.0,69.425835,2915.885,34.050293,98.683495,15.796034
NORTH CENTER,5.0,86.84077,2952.5862,64.96366,114.089485,12.161602
LAKE VIEW,6.0,94.71396,5114.5537,37.97544,203.97879,34.314476
LINCOLN PARK,7.0,100.29852,4914.6274,50.686607,179.7112,28.283981
NEAR NORTH SIDE,8.0,161.11832,7411.443,38.430912,292.22333,67.038956
EDISON PARK,9.0,50.041695,1000.8339,30.256052,68.396324,9.704186
NORWOOD PARK,10.0,60.00202,4380.1475,30.16722,86.21854,10.627654
JEFFERSON PARK,11.0,66.09955,2379.5837,23.13571,94.982315,14.907861
FOREST GLEN,12.0,42.359432,2160.331,20.455687,74.43771,12.401086
NORTH PARK,13.0,60.894993,2374.9048,31.736414,91.58106,16.066
ALBANY PARK,14.0,70.14406,2455.042,44.301613,89.504974,11.272729
PORTAGE PARK,15.0,75.620995,4688.5015,56.113834,122.541595,16.678005
IRVING PARK,16.0,82.20422,4028.0068,58.173164,111.97846,11.468564
DUNNING,17.0,59.804783,3229.4583,35.114285,103.86868,12.101329
MONTCLARE,18.0,69.3785,1248.813,62.12824,83.648254,6.825181
BELMONT CRAGIN,19.0,78.18176,5238.178,55.292297,105.26648,10.786852
HERMOSA,20.0,82.32302,1481.8143,71.652916,97.74831,6.7422595
AVONDALE,21.0,98.62574,3550.5266,71.70306,128.61218,15.393556
LOGAN SQUARE,22.0,96.14469,5191.8135,65.1481,174.58209,26.899845
HUMBOLDT PARK,23.0,82.27555,4442.88,69.942535,117.72868,9.766692
WEST TOWN,24.0,105.26526,7789.6294,72.66999,182.86282,28.65092
AUSTIN,25.0,75.258545,8805.25,46.949963,116.15511,13.325815
WEST GARFIELD PARK,26.0,93.998474,2161.9648,78.9809,108.99233,7.8223524
EAST GARFIELD PARK,27.0,96.30366,3466.9316,72.63129,114.56645,10.298103
NEAR WEST SIDE,28.0,150.69785,13562.807,95.52896,224.67587,33.23053
NORTH LAWNDALE,29.0,89.57703,4389.2744,72.088524,114.853065,11.15619
SOUTH LAWNDALE,30.0,98.71305,7304.7656,78.535805,161.8362,16.846043
LOWER WEST SIDE,31.0,119.86282,6232.8667,85.9935,193.26785,21.561539
LOOP,32.0,197.59357,5137.4326,84.60568,310.95566,59.681347
