community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
ROGERS PARK,1.0,70.97421,2058.2522,42.713066,93.13868,11.432817,2023,1038,1986,1477,2460,2802,4392,2431,4440,6095,5495,2837,4879,4537,5128,5772,4080,3081,53169,25129,13602,459,2750,0,5278,5951,23158,10599,2023_ROGERS PARK,1860
WEST RIDGE,2.0,68.73003,4192.5317,52.747105,85.50294,7.629064,2023,2088,3577,3031,4005,5327,10747,3219,5519,8146,7729,4907,10789,2568,4807,7905,6939,5945,79220,36943,9310,681,16696,17,6958,8615,31486,17531,2023_WEST RIDGE,3731
UPTOWN,3.0,79.34233,2776.9817,20.459435,118.749535,19.469854,2023,1379,1189,971,1500,4119,3019,1977,7815,7131,5255,2224,3343,2325,6650,5389,4240,3306,52674,30635,10848,238,5033,17,2275,3626,27437,7558,2023_UPTOWN,1875
LINCOLN SQUARE,4.0,69.425835,2915.885,34.050293,98.683495,15.796034,2023,576,1022,1173,2162,4410,3588,1258,4535,5778,3366,1739,3553,1589,5379,5576,3357,2462,42180,28731,1623,280,4345,0,2662,4539,25776,8311,2023_LINCOLN SQUARE,2219
NORTH CENTER,5.0,86.84077,2952.5862,64.96366,114.089485,12.161602,2023,355,271,378,1019,6575,4873,673,3400,5310,2578,1093,4495,707,3913,4913,2253,1574,35782,28092,906,17,2264,22,1063,3418,26136,4516,2023_NORTH CENTER,2369
LAKE VIEW,6.0,94.71396,5114.5537,37.97544,203.97879,34.314476,2023,627,661,860,1969,10739,5822,5510,16503,9710,5596,3406,5587,6195,15126,8311,4827,4058,90652,71631,3913,146,6386,88,2415,6073,67784,8979,2023_LAKE VIEW,3117
LINCOLN PARK,7.0,100.29852,4914.6274,50.686607,179.7112,28.283981,2023,309,346,381,1224,8892,5078,4436,9024,5351,4012,2907,4564,5376,9145,5074,4180,2920,62067,50933,2283,25,4319,7,1261,3238,49078,4274,2023_LINCOLN PARK,3967
NEAR NORTH SIDE,8.0,161.11832,7411.443,38.430912,292.22333,67.038956,2023,847,1032,517,1375,12236,3377,4374,15437,7622,7120,6401,2917,5592,16019,7509,7289,7978,91635,64903,6434,492,12354,8,1855,5590,62702,6664,2023_NEAR NORTH SIDE,3356
EDISON PARK,9.0,50.041695,1000.8339,30.256052,68.396324,9.704186,2023,123,183,109,677,1846,1248,301,624,1045,1437,808,1292,331,1141,1063,1256,854,11398,9914,50,0,178,0,517,739,9162,1673,2023_EDISON PARK,1091
NORWOOD PARK,10.0,60.00202,4380.1475,30.16722,86.21854,10.627654,2023,771,972,1140,2459,5263,5002,1192,2457,4154,3711,2981,4302,1067,1804,4531,3903,4970,40074,31029,515,144,2809,0,1759,3819,27986,7802,2023_NORWOOD PARK,3717
